pr-16384-c16	PR	ALIGNED	0	OK	<deploy-root>/state/luz028-artifacts/LUZ028_MATRIX4K512K_20260923T150740Z/pr/pr-16384-c16
pr-32768-c16	PR	ALIGNED	0	OK	<deploy-root>/state/luz028-artifacts/LUZ028_MATRIX4K512K_20260923T150740Z/pr/pr-32768-c16
pr-65536-c16	PR	ALIGNED	0	OK	<deploy-root>/state/luz028-artifacts/LUZ028_MATRIX4K512K_20260923T150740Z/pr/pr-65536-c16
pr-131072-c16	PR	ALIGNED	0	OK	<deploy-root>/state/luz028-artifacts/LUZ028_MATRIX4K512K_20260923T150740Z/pr/pr-131072-c16
pr-262144-c16	PR	ALIGNED	0	OK	<deploy-root>/state/luz028-artifacts/LUZ028_MATRIX4K512K_20260923T150740Z/pr/pr-262144-c16
pr-524288-c16	PR	ALIGNED	0	OK	<deploy-root>/state/luz028-artifacts/LUZ028_MATRIX4K512K_20260923T150740Z/pr/pr-524288-c16
de-prose-c1-r1-2048	DE	prose	0	OK	de-prose-c1-r1-2048.log
de-coding-c1-r1-2048	DE	coding	2	REGRESSION(rc=2)	de-coding-c1-r1-2048.log
de-prose-c1-r2-2048	DE	prose	0	OK	de-prose-c1-r2-2048.log
de-coding-c1-r2-2048	DE	coding	2	REGRESSION(rc=2)	de-coding-c1-r2-2048.log
de-prose-c1-r3-2048	DE	prose	0	OK	de-prose-c1-r3-2048.log
de-coding-c1-r3-2048	DE	coding	2	REGRESSION(rc=2)	de-coding-c1-r3-2048.log
de-prose-c1-r4-2048	DE	prose	0	OK	de-prose-c1-r4-2048.log
de-coding-c1-r4-2048	DE	coding	2	REGRESSION(rc=2)	de-coding-c1-r4-2048.log
de-prose-c1-r5-2048	DE	prose	0	OK	de-prose-c1-r5-2048.log
de-coding-c1-r5-2048	DE	coding	0	OK	de-coding-c1-r5-2048.log
